u,v,line_name,direction,time
324,135,1号线,往富锦路,2
135,324,1号线,往莘庄,2
135,326,1号线,往富锦路,2
326,135,1号线,往莘庄,2
326,373,1号线,往富锦路,2
373,326,1号线,往莘庄,2
373,16,1号线,往富锦路,2
16,373,1号线,往莘庄,3
16,279,1号线,往富锦路,2
279,16,1号线,往莘庄,2
279,13,1号线,往富锦路,2
13,279,1号线,往莘庄,2
13,183,1号线,往富锦路,2
183,13,1号线,往莘庄,2
183,342,1号线,往富锦路,2
342,183,1号线,往莘庄,2
342,168,1号线,往富锦路,3
168,342,1号线,往莘庄,3
168,388,1号线,往富锦路,2
388,168,1号线,往莘庄,2
388,2,1号线,往富锦路,3
2,388,1号线,往莘庄,2
2,71,1号线,往富锦路,2
71,2,1号线,往莘庄,2
71,198,1号线,往富锦路,2
198,71,1号线,往莘庄,3
198,244,1号线,往富锦路,2
244,198,1号线,往莘庄,2
244,23,1号线,往富锦路,2
23,244,1号线,往莘庄,3
23,49,1号线,往富锦路,2
49,23,1号线,往莘庄,3
49,178,1号线,往富锦路,3
178,49,1号线,往莘庄,3
178,28,1号线,往富锦路,3
28,178,1号线,往莘庄,3
28,254,1号线,往富锦路,3
254,28,1号线,往莘庄,2
254,182,1号线,往富锦路,2
182,254,1号线,往莘庄,2
182,78,1号线,往富锦路,3
78,182,1号线,往莘庄,3
78,354,1号线,往富锦路,3
354,78,1号线,往莘庄,2
354,115,1号线,往富锦路,2
115,354,1号线,往莘庄,3
115,77,1号线,往富锦路,3
77,115,1号线,往莘庄,2
77,158,1号线,往富锦路,3
158,77,1号线,往莘庄,2
158,102,1号线,往富锦路,2
102,158,1号线,往莘庄,2
102,161,1号线,往富锦路,2
161,102,1号线,往莘庄,3
339,126,2号线,往浦东1号2号航站楼,3
126,339,2号线,往蟠祥路·国家会计学院,3
126,333,2号线,往浦东1号2号航站楼,3
333,126,2号线,往蟠祥路·国家会计学院,3
333,332,2号线,往浦东1号2号航站楼,2
332,333,2号线,往蟠祥路·国家会计学院,2
332,273,2号线,往浦东1号2号航站楼,2
273,332,2号线,往蟠祥路·国家会计学院,3
273,85,2号线,往浦东1号2号航站楼,2
85,273,2号线,往蟠祥路·国家会计学院,2
85,149,2号线,往浦东1号2号航站楼,2
149,85,2号线,往蟠祥路·国家会计学院,2
149,150,2号线,往浦东1号2号航站楼,3
150,149,2号线,往蟠祥路·国家会计学院,2
150,48,2号线,往浦东1号2号航站楼,2
48,150,2号线,往蟠祥路·国家会计学院,3
48,253,2号线,往浦东1号2号航站楼,3
253,48,2号线,往蟠祥路·国家会计学院,2
253,392,2号线,往浦东1号2号航站楼,2
392,253,2号线,往蟠祥路·国家会计学院,3
392,96,2号线,往浦东1号2号航站楼,2
96,392,2号线,往蟠祥路·国家会计学院,2
96,71,2号线,往浦东1号2号航站楼,3
71,96,2号线,往蟠祥路·国家会计学院,2
71,95,2号线,往浦东1号2号航站楼,3
95,71,2号线,往蟠祥路·国家会计学院,3
95,384,2号线,往浦东1号2号航站楼,2
384,95,2号线,往蟠祥路·国家会计学院,2
384,262,2号线,往浦东1号2号航站楼,2
262,384,2号线,往蟠祥路·国家会计学院,2
262,34,2号线,往浦东1号2号航站楼,3
34,262,2号线,往蟠祥路·国家会计学院,3
34,24,2号线,往浦东1号2号航站楼,3
24,34,2号线,往蟠祥路·国家会计学院,3
24,33,2号线,往浦东1号2号航站楼,2
33,24,2号线,往蟠祥路·国家会计学院,3
33,416,2号线,往浦东1号2号航站楼,3
416,33,2号线,往蟠祥路·国家会计学院,2
416,181,2号线,往浦东1号2号航站楼,3
181,416,2号线,往蟠祥路·国家会计学院,2
181,367,2号线,往浦东1号2号航站楼,3
367,181,2号线,往蟠祥路·国家会计学院,2
367,170,2号线,往浦东1号2号航站楼,2
170,367,2号线,往蟠祥路·国家会计学院,3
170,116,2号线,往浦东1号2号航站楼,3
116,170,2号线,往蟠祥路·国家会计学院,2
116,82,2号线,往浦东1号2号航站楼,3
82,116,2号线,往蟠祥路·国家会计学院,3
82,90,2号线,往浦东1号2号航站楼,2
90,82,2号线,往蟠祥路·国家会计学院,2
90,165,2号线,往浦东1号2号航站楼,3
165,90,2号线,往蟠祥路·国家会计学院,3
165,80,2号线,往浦东1号2号航站楼,3
80,165,2号线,往蟠祥路·国家会计学院,3
80,351,2号线,往浦东1号2号航站楼,3
351,80,2号线,往蟠祥路·国家会计学院,3
351,269,2号线,往浦东1号2号航站楼,3
269,351,2号线,往蟠祥路·国家会计学院,2
269,261,2号线,往浦东1号2号航站楼,3
261,269,2号线,往蟠祥路·国家会计学院,3
16,294,3号线,往江杨北路,3
294,16,3号线,往上海南站,2
294,414,3号线,往江杨北路,2
414,294,3号线,往上海南站,3
414,281,3号线,往江杨北路,2
281,414,3号线,往上海南站,3
281,157,3号线,往江杨北路,2
157,281,3号线,往上海南站,3
157,334,3号线,往江杨北路,3
334,157,3号线,往上海南站,3
334,177,3号线,往江杨北路,2
177,334,3号线,往上海南站,2
177,48,3号线,往江杨北路,3
48,177,3号线,往上海南站,2
48,364,3号线,往江杨北路,2
364,48,3号线,往上海南站,3
364,209,3号线,往江杨北路,2
209,364,3号线,往上海南站,3
209,376,3号线,往江杨北路,3
376,209,3号线,往上海南站,3
376,51,3号线,往江杨北路,2
51,376,3号线,往上海南站,2
51,23,3号线,往江杨北路,2
23,51,3号线,往上海南站,2
23,159,3号线,往江杨北路,2
159,23,3号线,往上海南站,2
159,38,3号线,往江杨北路,3
38,159,3号线,往上海南站,3
38,330,3号线,往江杨北路,2
330,38,3号线,往上海南站,3
330,348,3号线,往江杨北路,2
348,330,3号线,往上海南站,3
348,142,3号线,往江杨北路,2
142,348,3号线,往上海南站,3
142,252,3号线,往江杨北路,2
252,142,3号线,往上海南站,3
252,235,3号线,往江杨北路,2
235,252,3号线,往上海南站,3
235,378,3号线,往江杨北路,2
378,235,3号线,往上海南站,2
378,271,3号线,往江杨北路,2
271,378,3号线,往上海南站,3
271,179,3号线,往江杨北路,2
179,271,3号线,往上海南站,3
179,272,3号线,往江杨北路,2
272,179,3号线,往上海南站,3
272,239,3号线,往江杨北路,2
239,272,3号线,往上海南站,3
239,160,3号线,往江杨北路,3
160,239,3号线,往上海南站,2
160,103,3号线,往江杨北路,3
103,160,3号线,往上海南站,2
103,370,3号线,往江杨北路,3
370,103,3号线,往上海南站,2
370,248,3号线,往江杨北路,2
248,370,3号线,往上海南站,3
13,157,4号线,内圈,3
157,13,4号线,外圈,3
157,334,4号线,内圈,2
334,157,4号线,外圈,2
334,177,4号线,内圈,3
177,334,4号线,外圈,3
177,48,4号线,内圈,2
48,177,4号线,外圈,2
48,364,4号线,内圈,2
364,48,4号线,外圈,3
364,209,4号线,内圈,3
209,364,4号线,外圈,2
209,376,4号线,内圈,3
376,209,4号线,外圈,3
376,51,4号线,内圈,2
51,376,4号线,外圈,3
51,23,4号线,内圈,2
23,51,4号线,外圈,2
23,159,4号线,内圈,3
159,23,4号线,外圈,2
159,268,4号线,内圈,3
268,159,4号线,外圈,2
268,55,4号线,内圈,3
55,268,4号线,外圈,3
55,144,4号线,内圈,3
144,55,4号线,外圈,3
144,216,4号线,内圈,3
216,144,4号线,外圈,3
216,263,4号线,内圈,2
263,216,4号线,外圈,2
263,34,4号线,内圈,2
34,263,4号线,外圈,2
34,111,4号线,内圈,3
111,34,4号线,外圈,2
111,329,4号线,内圈,2
329,111,4号线,外圈,2
329,132,4号线,内圈,3
132,329,4号线,外圈,2
132,98,4号线,内圈,3
98,132,4号线,外圈,2
98,346,4号线,内圈,3
346,98,4号线,外圈,3
346,404,4号线,内圈,2
404,346,4号线,外圈,3
404,141,4号线,内圈,2
141,404,4号线,外圈,2
141,37,4号线,内圈,2
37,141,4号线,外圈,3
37,12,4号线,内圈,3
12,37,4号线,外圈,3
324,203,5号线,往奉贤新城,3
203,324,5号线,往莘庄,3
203,372,5号线,往奉贤新城,3
372,203,5号线,往莘庄,2
372,397,5号线,往奉贤新城,3
397,372,5号线,往莘庄,2
397,86,5号线,往奉贤新城,3
86,397,5号线,往莘庄,2
86,83,5号线,往奉贤新城,2
83,86,5号线,往莘庄,2
83,39,5号线,往奉贤新城,3
39,83,5号线,往莘庄,2
39,360,5号线,往奉贤新城,2
360,39,5号线,往莘庄,3
360,93,5号线,往奉贤新城,2
93,360,5号线,往莘庄,3
93,194,5号线,往奉贤新城,3
194,93,5号线,往莘庄,2
194,383,5号线,往奉贤新城,2
383,194,5号线,往莘庄,2
383,246,5号线,往奉贤新城,2
246,383,5号线,往莘庄,2
246,344,5号线,往奉贤新城,3
344,246,5号线,往莘庄,2
344,327,5号线,往奉贤新城,3
327,344,5号线,往莘庄,2
327,146,5号线,往奉贤新城,2
146,327,5号线,往莘庄,2
146,287,5号线,往奉贤新城,2
287,146,5号线,往莘庄,3
287,211,5号线,往奉贤新城,3
211,287,5号线,往莘庄,2
211,365,5号线,往奉贤新城,2
365,211,5号线,往莘庄,3
365,147,5号线,往奉贤新城,2
147,365,5号线,往莘庄,3
40,284,6号线,往港城路,2
284,40,6号线,往东方体育中心,2
284,10,6号线,往港城路,2
10,284,6号线,往东方体育中心,2
10,92,6号线,往港城路,3
92,10,6号线,往东方体育中心,2
92,403,6号线,往港城路,3
403,92,6号线,往东方体育中心,2
403,42,6号线,往港城路,2
42,403,6号线,往东方体育中心,3
42,402,6号线,往港城路,2
402,42,6号线,往东方体育中心,2
402,56,6号线,往港城路,3
56,402,6号线,往东方体育中心,2
56,14,6号线,往港城路,3
14,56,6号线,往东方体育中心,2
14,329,6号线,往港城路,3
329,14,6号线,往东方体育中心,3
329,266,6号线,往港城路,2
266,329,6号线,往东方体育中心,2
266,34,6号线,往港城路,2
34,266,6号线,往东方体育中心,3
34,276,6号线,往港城路,3
276,34,6号线,往东方体育中心,2
276,237,6号线,往港城路,2
237,276,6号线,往东方体育中心,3
237,87,6号线,往港城路,2
87,237,6号线,往东方体育中心,2
87,187,6号线,往港城路,2
187,87,6号线,往东方体育中心,3
187,64,6号线,往港城路,2
64,187,6号线,往东方体育中心,3
