id,name,line1,line2,line3,line4,line5,status
1,一大会址·新天地,10,13,0,0,0,1
2,一大会址·黄陂南路,1,14,0,0,0,1
3,七宝,9,0,0,0,0,1
4,七莘路,12,0,0,0,0,1
5,三林,11,0,0,0,0,1
6,三林东,11,0,0,0,0,1
7,三林南,51,0,0,0,0,1
8,三门路,10,0,0,0,0,1
9,三鲁公路,41,0,0,0,0,1
10,上南路,6,0,0,0,0,1
11,上大路,7,0,0,0,0,1
12,上海体育场,4,0,0,0,0,1
13,上海体育馆,1,4,0,0,0,1
14,上海儿童医学中心,6,0,0,0,0,1
15,上海动物园,10,0,0,0,0,1
16,上海南站,1,3,15,0,0,1
17,上海国际旅游度假区,51,0,0,0,0,1
18,上海图书馆,10,0,0,0,0,1
19,上海大学,7,0,0,0,0,1
20,上海松江站,9,0,0,0,0,1
21,上海汽车城,11,0,0,0,0,1
22,上海游泳馆,11,0,0,0,0,1
23,上海火车站,1,3,4,0,0,1
24,上海科技馆,2,0,0,0,0,1
25,上海西站,11,15,0,0,0,1
26,上海财经大学,18,0,0,0,0,1
27,上海赛车场,11,0,0,0,0,1
28,上海马戏城,1,0,0,0,0,1
29,下南路,13,0,0,0,0,1
30,下沙,18,0,0,0,0,1
31,世博会博物馆,13,0,0,0,0,1
32,世博大道,13,0,0,0,0,1
33,世纪公园,2,0,0,0,0,1
34,世纪大道,2,4,6,9,0,1
35,东兰路,12,0,0,0,0,1
36,东城一路,41,0,0,0,0,1
37,东安路,4,7,0,0,0,1
38,东宝兴路,3,0,0,0,0,1
39,东川路,5,0,0,0,0,1
40,东方体育中心,6,8,11,0,0,1
41,东方绿舟,17,0,0,0,0,1
42,东明路,6,13,0,0,0,1
43,东陆路,12,0,0,0,0,1
44,东靖路,6,0,0,0,0,1
45,中兴路,8,0,0,0,0,1
46,中华艺术宫,8,0,0,0,0,1
47,中宁路,14,0,0,0,0,1
48,中山公园,2,3,4,0,0,1
49,中山北路,1,0,0,0,0,1
50,中春路,9,51,0,0,0,1
51,中潭路,3,4,0,0,0,1
52,中科路,13,0,0,0,0,1
53,丰庄,13,0,0,0,0,1
54,丰翔路,15,0,0,0,0,1
55,临平路,4,0,0,0,0,1
56,临沂新村 ,6,0,0,0,0,1
57,临洮路,14,0,0,0,0,1
58,临港大道,16,0,0,0,0,1
59,丹阳路,18,0,0,0,0,1
60,乐秀路,14,0,0,0,0,1
61,九亭,9,0,0,0,0,1
62,书院,16,0,0,0,0,1
63,云台路,7,0,0,0,0,1
64,云山路,6,14,0,0,0,1
65,云锦路,11,0,0,0,0,1
66,云顺路,14,0,0,0,0,1
67,五洲大道,6,0,0,0,0,1
68,五莲路,6,0,0,0,0,1
69,五角场,10,0,0,0,0,1
70,交通大学,10,11,0,0,0,1
71,人民广场,1,2,8,0,0,1
72,伊犁路,10,0,0,0,0,1
73,佘山,9,0,0,0,0,1
74,元江路,15,0,0,0,0,1
75,兆丰路,11,0,0,0,0,1
76,光明路,11,0,0,0,0,1
77,共富新村,1,0,0,0,0,1
78,共康路,1,0,0,0,0,1
79,凌兆新村,8,0,0,0,0,1
80,凌空路,2,0,0,0,0,1
81,刘行,7,0,0,0,0,1
82,创新中路,2,0,0,0,0,1
83,剑川路,5,0,0,0,0,1
84,北中路,18,0,0,0,0,1
85,北新泾,2,0,0,0,0,1
86,北桥,5,0,0,0,0,1
87,北洋泾路,6,0,0,0,0,1
88,北蔡,13,0,0,0,0,1
89,华东理工大学,15,0,0,0,0,1
90,华夏东路,2,0,0,0,0,1
91,华夏中路,13,16,0,0,0,1
92,华夏西路,6,0,0,0,0,1
93,华宁路,5,0,0,0,0,1
